countries,region
Afghanistan,Middle East
Albania,Soviet union
Algeria,Africa
American Samoa,Oceania
Andorra,PIGS
Angola,Africa
Antigua and Barbuda,North America
Argentina,Latin America
Armenia,Soviet union
Aruba,North America
Australia,Oceania
Austria,Continental Europe
Azerbaijan,Soviet union
The Bahamas,North America
Bahrain,Middle East
Bangladesh,South Asia
Barbados,North America
Belarus,Soviet union
Belgium,Continental Europe
Belize,Latin America
Benin,Africa
Bermuda,North America
Bhutan,South Asia
Bolivia,Latin America
Bosnia and Herzegovina,Soviet union
Botswana,Africa
Brazil,Latin America
Brunei,South East Asia
Bulgaria,Soviet union
Burkina Faso,Africa
Burundi,Africa
Cabo Verde,Africa
Cambodia,South East Asia
Cameroon,Africa
Canada,North America
Cayman Islands,North America
Central African Republic,Africa
Chad,Africa
Channel Islands,Continental Europe
Chile,Latin America
China,East Asia
Colombia,Latin America
Comoros,Africa
Congo,Africa
Costa Rica,Latin America
Côte D'Ivoire,Africa
Croatia,Soviet union
Cuba,Latin America
Curaçao,Latin America
Cyprus,Soviet union
Czech Republic,Soviet union
Dem. People's Rep. Korea,North Asia
Dem. Rep. Congo,Africa
Denmark,Scandinavia
Djibouti,Africa
Dominica,Latin America
Dominican Republic,Latin America
Ecuador,Latin America
Egypt,Africa
El Salvador,Latin America
Equatorial Guinea,Africa
Eritrea,Africa
Estonia,Soviet union
Ethiopia,Africa
Faeroe Islands,Continental Europe
Fiji,Oceania
Finland,Scandinavia
France,Continental Europe
French Guiana,Latin America
French Polynesia,Oceania
Gabon,Africa
The Gambia,Africa
Georgia,Soviet union
Germany,Continental Europe
Ghana,Africa
Greece,PIGS
Greenland,North America
Grenada,North America
Guadeloupe (French),Latin America
Guam,Oceania
Guatemala,Latin America
Guinea,Africa
Guinea-Bissau,Africa
Guyana,Latin America
Haiti,Latin America
Honduras,Latin America
"Hong Kong SAR, China",East Asia
Hungary,Soviet union
Iceland,Scandinavia
India,South Asia
Indonesia,South East Asia
Iran,Middle East
Iraq,Middle East
Ireland,Continental Europe
Isle of Man,Continental Europe
Israel,PIGS
Italy,PIGS
Jamaica,North America
Japan,North Asia
Jordan,Middle East
Kazakhstan,Soviet union
Kenya,Africa
Kiribati,Oceania
Korea,North Asia
Kosovo,Soviet union
Kuwait,Middle East
Kyrgyz Republic,Soviet union
Lao PDR,South East Asia
Latvia,Soviet union
Lebanon,Middle East
Lesotho,Africa
Liberia,Africa
Libya,Africa
Liechtenstein,Continental Europe
Lithuania,Soviet union
Luxembourg,Continental Europe
"Macao SAR, China",East Asia
Macedonia,Soviet union
Madagascar,Africa
Malawi,Africa
Malaysia,South East Asia
Maldives,South Asia
Mali,Africa
Malta,PIGS
Marshall Islands,Oceania
Martinique (French),Latin America
Mauritania,Africa
Mauritius,Africa
Mexico,Latin America
Micronesia,Oceania
Moldova,Soviet union
Monaco,PIGS
Mongolia,East Asia
Montenegro,Soviet union
Morocco,Africa
Mozambique,Africa
Myanmar,South East Asia
Namibia,Africa
Nepal,South Asia
Netherlands,Continental Europe
New Caledonia,Oceania
New Zealand,Oceania
Nicaragua,Latin America
Niger,Africa
Nigeria,Africa
Northern Mariana Islands,Oceania
Norway,Scandinavia
Oman,Middle East
Pacific Islands,Oceania
Pakistan,South Asia
Palau,Oceania
Panama,Latin America
Papua New Guinea,Oceania
Paraguay,Latin America
Peru,Latin America
Philippines,South East Asia
Poland,Soviet union
Portugal,PIGS
Puerto Rico,Latin America
Qatar,Middle East
Reunion (French),Africa
Soviet union,Soviet union
Russia,Soviet union
Rwanda,Africa
Samoa,Oceania
San Marino,PIGS
São Tomé and Principe,Africa
Saudi Arabia,Middle East
Senegal,Africa
Serbia,Soviet union
Seychelles,Africa
Sierra Leone,Africa
Singapore,South East Asia
Sint Maarten (Dutch part),North America
Slovak Republic,Soviet union
Slovenia,Soviet union
Solomon Islands,Oceania
Somalia,Africa
South Africa,Africa
South Sudan,Africa
Spain,PIGS
Sri Lanka,South Asia
St. Kitts and Nevis,North America
St. Lucia,North America
St. Martin (French part),North America
St. Vincent and the Grenadines,North America
Sudan,Africa
Suriname,Latin America
Swaziland,Africa
Sweden,Scandinavia
Switzerland,Continental Europe
Syrian Arab Republic,Middle East
Taiwan,East Asia
Tajikistan,Soviet union
Tanzania,Africa
Thailand,South East Asia
Timor-Leste,South East Asia
Togo,Africa
Tonga,Oceania
Trinidad and Tobago,North America
Tunisia,Africa
Turkey,Soviet union
Turkmenistan,Soviet union
Turks and Caicos Islands,North America
Tuvalu,Oceania
Uganda,Africa
Ukraine,Soviet union
United Arab Emirates,Middle East
United Kingdom,Continental Europe
United States,North America
Uruguay,Latin America
Uzbekistan,Soviet union
Vanuatu,Oceania
Vatican,PIGS
Venezuela,Latin America
Vietnam,South East Asia
Virgin Islands,North America
Palestine,Middle East
Yemen,Middle East
Zambia,Africa
Zimbabwe,Africa
